"Source:","C:\Work\CAD\MCU_Board\HSD_LSD_SENS\ATMega328_breakout\ATMega328_breakout.kicad_sch"
"Date:","2022/08/04 23:26:13"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","5"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","IC1","ATMEGA328PB-AN","SamacSys_Parts:ATMEGA328PB-AN","QFP80P900X900X120-32N","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","MCU 8-bit ATmega AVR RISC 32KB Flash 2.5V/3.3V/5V 32-Pin TQFP Tray","1.2","Microchip","ATMEGA328PB-AN","556-ATMEGA328PB-AN","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328PB-AN?qs=jy4bLUHv09gDoS2J01KCIw%3D%3D"
"","","J1","5-146278-8","SamacSys_Parts:5-146278-8","HDRV8W56P0X254_1X8_1991X234X872P","https://componentsearchengine.com/Datasheets/1/5-146278-8.pdf","08 MODII HDR SRST B/A .100CL","8.72","TE Connectivity","5-146278-8","571-5-146278-8","https://www.mouser.com/Search/Refine.aspx?Keyword=571-5-146278-8"
"","","J2","5-146278-8","SamacSys_Parts:5-146278-8","HDRV8W56P0X254_1X8_1991X234X872P","https://componentsearchengine.com/Datasheets/1/5-146278-8.pdf","08 MODII HDR SRST B/A .100CL","8.72","TE Connectivity","5-146278-8","571-5-146278-8","https://www.mouser.com/Search/Refine.aspx?Keyword=571-5-146278-8"
"","","J3","5-146278-8","SamacSys_Parts:5-146278-8","HDRV8W56P0X254_1X8_1991X234X872P","https://componentsearchengine.com/Datasheets/1/5-146278-8.pdf","08 MODII HDR SRST B/A .100CL","8.72","TE Connectivity","5-146278-8","571-5-146278-8","https://www.mouser.com/Search/Refine.aspx?Keyword=571-5-146278-8"
"","","J4","5-146278-8","SamacSys_Parts:5-146278-8","HDRV8W56P0X254_1X8_1991X234X872P","https://componentsearchengine.com/Datasheets/1/5-146278-8.pdf","08 MODII HDR SRST B/A .100CL","8.72","TE Connectivity","5-146278-8","571-5-146278-8","https://www.mouser.com/Search/Refine.aspx?Keyword=571-5-146278-8"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","IC1","ATMEGA328PB-AN","SamacSys_Parts:ATMEGA328PB-AN","QFP80P900X900X120-32N","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","MCU 8-bit ATmega AVR RISC 32KB Flash 2.5V/3.3V/5V 32-Pin TQFP Tray","1.2","Microchip","ATMEGA328PB-AN","556-ATMEGA328PB-AN","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328PB-AN?qs=jy4bLUHv09gDoS2J01KCIw%3D%3D"
"2","4","J1, J2, J3, J4","5-146278-8","SamacSys_Parts:5-146278-8","HDRV8W56P0X254_1X8_1991X234X872P","https://componentsearchengine.com/Datasheets/1/5-146278-8.pdf","08 MODII HDR SRST B/A .100CL","8.72","TE Connectivity","5-146278-8","571-5-146278-8","https://www.mouser.com/Search/Refine.aspx?Keyword=571-5-146278-8"
